title,story_points
als een categorie geen producten heeft moet deze niet getoond worden,80
spike hoe moeten omgaan met organisaties ontvangers die op inactief worden gezet en de cycli waarin ze zitten,10
als besteller wil ik de totaalprijs weten van mijn bestelling zodat ik weet hoeveel ik totaal kwijt ben voordat ik de bestelling plaats stap 2,50
als gebruiker wil ik de afleverhoeveelheden kunnen zien zodat ik weet hoe mijn bestelling berekend,50
als gebruiker wil ik het aantal losse componenten invullen zodat ik aantallen kan opgeven,80
als medewerker wil ik dat producten logischerwijs zijn gesorteerd zodat gebruikers een logische productenlijst zien,20
als medewerker wil ik dat categorieen logischerwijs zijn gesorteerd zodat gebruikers een logische categorie volgorde zien,20
als gebruiker wil ik recepten kunnen zoeken zodat ik gemakkelijk recepten kan vinden,50
als gebruiker wil ik receptenlijst kunnen zien zodat ik inspiratie heb voor mijn bestellingen,50
als gebruiker wil ik receptdetails kunnen zien zodat ik inspiratie heb voor mijn bestelling,80
als besteller wil ik een overzicht van de losse maaltijdcomponenten niet dieetmaaltijden zodat ik aantallen kan voeren,50
als developer wil ik verpakkingsberekening van dieetmaaltijden opslaan de de database zodat ik die later kan raadplegen,80
als medewerker wil ik menus valideren een cyclus op dubbele componenten zodat er geen fouten optreden bij de levering,50
als developer wil ik dat orderorderline wijzigingen aan de zbmx kant bij ons doorkomen zodat wij en de gebruiker altijd date zijn van order statussen,80
alle queries filteren op soft deletes en inactive states,10
als gebruiker wil ik het aantal vaste dieetmaaltijden invullen zodat ik aantallen kan opgeven,50
als medewerker wil ik een dieet kunnen verwijderen zodat de data integer blijft,50
als medewerker wil ik de assortimentcode van producten kunnen zien zodat ik kan zien welke producten uit het assortiment gaan,20
als medewerker wil ik een product kunnen zoeken op zbartikelnummer zodat ik sneller het product kan vinden wat ik zoek,10
als medewerker wil ik het zbartikelnummer van een product kunnen zien zodat ik zeker weet dat ik het juiste artikel heb,20
als developer wil ik bij het consumeren van producten de relatie met maaltijdtypering automatiseren zodat dit niet handmatig hoeft,30
als developer wil ik een background process dat periodiek alle nieuwe herhaalorders inschiet zodat dit voor de gebruiker wordt geautomatiseerd,80
als gebruiker wil ik een herhaal order kunnen verwijderen zodat ik geen automatische orders meer krijg,80
als besteller wil ik meer informatie vaste dieetmaaltijden zodat ik weet wat de maaltijd bevat,80
als besteller wil ik een overzicht van vaste dieetmaaltijden hebben zodat ik aantallen kan invoeren,50
als developer wil ik dat het ophalen van cycli voor een ontvanger een duidelijke structuur heeft zodat de ontvangers de juiste cyclus kunnen bestellen,50
als medewerker wil ik voor een productrecept extra ingredienten kunnen voeren zodat de besteller voor kookrecepten extra producten kan bestellen,50
als medewerker wil ik voor een product een recept omschrijving kunnen voeren zodat de gebruiker weet hoe het kook product wordt bereidt,50
als gebruiker wil ik een herhaal order kunnen wijzigen zodat ik snel aanpassen kan doen geautomatiseerde bestellingen,80
als medewerker wil ik voor een product een alternatieve kook product kunnen stellen zodat de gebruiker niet gebonden aan eetgemak,80
als developer wil ik verifiren een besparend artikel geldig zodat alleen besparende artikelen worden getoond die beschikbaar,80
als gebruiker wil ik vanaf een order detailpagina alle producten vervangen waarvoor een besparend product zodat ik gemakkelijk goedkoper uit ben,80
als gebruiker wil ik op een order detailpagina per artikel kunnen kiezen ik het wil vervangen voor het besparend alternatief zodat ik goedkopere keuzes kan maken,80
als zorgboodschap wil ik een security layer voor alle endpoints van maaltijdbeheer zodat de endpoints niet openbaar te bereiken zijn,50
tests aanpassen zodat ze blijven functioneren met een security laag,50
als medewerker wil ik de afleverhoeveelheden per organisatie kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,50
als medewerker wil ik de afleverhoeveelheden per ontvanger kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,50
als medewerker wil ik de afleverhoeveelheden algemeen kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,80
als gebruiker wil ik op een order detailpagina bij de prijsinformatie ingelicht worden hoeveel ik kan besparen zodat ik weet hoeveel ik zou kunnen besparen,80
als gebruiker wil ik op de detailpagina van een artikel het besparend alternatief zien zodat ik goedkopere keuzes kan maken,20
als gebruiker wil ik op de detailpagina van een artikel het alternatief zien zodat ik weet welke alternatieven er zijn,20
slider blok meerdere slides automatisch animeren met bolletjes om zelf te klikken,20
campagne home pagina beschikbaar maken op een aparte url indien er een campagne loopt,10
campagne home pagina vervangen door campagne pagina indien campagne actief,10
campagne mogelijkheid om een campagne pagina te previewen voordat deze live,10
campagne mogelijkheid om campagne pagina te schedulen online offline datum,10
influencers blok dummy content invoeren,05
influencers blok opmaak nalopen en tweaken,05
influencers blok template koppelen aan beheer opties uit cms,10
influencers blok beheer opties inrichten cms,10
influencers blok mogelijkheid om meerdere regels tekst te tonen 4 regels,10
influencers blok mogelijkheid vierkante thumbnails tonen,10
slider blok template koppelen aan beheer opties uit cms,10
slider blok beheer opties inrichten cms,10
paragraaf blok opmaak nalopen en tweaken,05
paragraaf blok template koppelen aan beheer opties uit cms,10
paragraaf blok beheer opties inrichten cms,10
header blok template koppelen aan beheer opties uit cms,10
header blok beheer opties inrichten cms,10
notification trigger plaatsen v2 handlers,15
marshmallow serializatie dumping implementeren,30
marshmallow validatie loading implementeren,40
meldingen overnemen functionaliteit meldingen,05
actions koppelen toevoegen nieuw verwijderen,15
laatste meldingen overnemen van meldingen,025
gulp taken aanmaken en zorgen voor goede output folder,30
link van knoppen emails ook als tekst toevoegen onder de knop voor het geval dit gefilterd wordt,10
grijstinten zijn minder duidelijk te weinig contrast,05
url moet veranderd worden het participatiepunt,10
vakje telefoonnummer kan ik ook letters invullen praktisch als er alleen cijfers ingevuld kunnen worden,10
als er op de vvn logo wordt geklikt wordt er naar de map gegaan ipv homepage op sommige paginas niet consistent,10
via de link httpsmeldpuntveiligverkeeracclabelanl kom je bij de kaart uit ipv homepage,10
vanuit melding startpakket kunnen goedkeuren,10
tab kom actie waar staan de contactgegevens,10
emailnotificatie na gekoppeld worden aan dossier,10
buurtactie aanmaken dropdown voor verantwoordelijke leeg het label zegt selecteer een categorie,02
als nieuwe gebruiker heb ik geen rechten om mijn melding te bekijken,15
melding maken comment field optioneel maken,02
kan geen startpakket downloaden als niet ingelogde gebruiker,10
put op department zegt dat email verplicht,10
als admin wil ik dat de rechtenstructuur inzichtelijk en de hirarchie binnen de applicatie weerspiegeld,40
als afdelingsmedewerker wil ik het overzicht van de meldingen kunnen goedkeuren de melding valide zodat er een startpakket kan worden opgestuurd,30
frontendbackend listen van gebruikers op basis van rol filter,10
wanneer je een dossier zit en je klikt op het tab meldingen moet de naam van de melder zichtbaar zijn,20
extra als afdelingsmedewerker wil ik het overzicht van de meldingen kunnen goedkeuren de melding valide zodat er een startpakket kan worden opgestuurd,20
als gebruiker wil ik de mogelijkheid hebben om contact op te nemen met het meldpunt,15
als gebruiker wil ik pdfs buurtactie handleidingen vanaf mijn meldingen kunnen downloaden,05
als gebruiker wil ik zien per melding er al een startpakket gedownload,15
als gebruiker wil ik zien wat ik verder met mijn melding kan doen,20
als gebruiker wil ik als ik inlog direct doorgaan naar mijn meldingen,025
als gebruiker wil ik een dossier kunnen overdragen aan een andere afdelingsmedewerker,20
als gebruiker wil ik een afgehandeld tabblad kunnen herzien,40
als gebruiker wil ik een deadline aan een dossier kunnen toevoegen,40
als gebruiker wil ik een notificatie krijgen als er deadline verstreken,20
als gebruiker wil ik een vervolgactie kunnen toevoegen aan een dossier,20
als gebruiker wil ik een datumstatusopmerking toevoegen aan een dossier,40
als gebruiker wil ik aanmaak datum van een dossier weten,20
als gebruiker wil ik het onderwerp van een dossier weten,40
als gebruiker wil ik een afgehandeld tabblad herzien,10
als gebruiker wil ik een verschil zien de statussen van een dossier,40
als gebruiker wil ik een overzicht van de planning,60
als gebruiker wil ik een tab met afgehandeld en een tab behandeling hebben,10
als admingebruiker wil ik een de geselecteerde regios provincies en gemeentes bij een gebruiker kunnen aanpassen,10
als admingebruiker wil ik provincies en eventueel gemeentes kunnen aanmaken,10
als admingebruiker wil ik een gebruiker met een rol kunnen toevoegen aan een regios,10
als admingebruiker wil ik zien aan welke gemeentes de melding gekoppeld,80
als admingebruiker wil ik een regios provincies en eventueel een gemeentes opslaan bij de gebruiker,60
als admingebruiker wil ik een gebruiker kunnen bewerken,10
als admingebruiker wil ik en een rol kunnen bewerken en bijbehorende rechten kunnen aanpassen,20
als admingebruiker wil ik een rol kunnen aanmaken en bijbehorende rechten aan deze rol toevoegen,60
als admingebruiker wil ik de algemene gegevens van een gebruiker kunnen invoeren,10
als admingebruiker wil ik een gebruiker kunnen aanmaken,10
als melder wil ik als ik inlog direct naar mijn meldingen kunnen gaan,025
niet locatie gebonden meldingen koppelen aan vvn account,20
backend nieuwe api routes declareren en koppelen met de handlers,20
backend overzicht aantal meldingen gemaakt aantal meldigen bevestigd gestrande melders,20
backend aantal verkeersonderzoeken landelijk en per regio,20
backend aantal buurtacties landelijk en per regio provincie,20
backend meldingen betrekking op binnen buiten de bebouwde kom 30 50 70,20
backend onze melders manvrouw en leeftijdsklassen,20
backend vervoerswijze melders landelijk en per provincie,25
backend meldingen top 10 landelijk en per provincie met aantallen,20
backend aantal meldingen landelijk en provincie,20
frontenbackend afgehandeld tabblad herzien,40
frontend detailview om datumstatusopmerking aan te geven,60
postcode validatie bij bestellen startpakket gaat fout,10
gedeelde social melding leidt niet naar melding op kaart,10
titel bestel een startpakket rood maken,10
link van een melding naar het aangevraagde startpakket,10
tonen van de opgegeven snelheid bij een melding het detail scherm,10
detail call voor aangevraagde startpakketten order,10
knop naar homepagina op download pagina handleidingen,10
algemeen frontend rode kleur van de website doortrekken de applicatie,15
startpakket backend call toevoegen wanneer een handleiding wordt gedownload,20
buurtlabels tonen bij infowindow op de kaart,20
link naar applicatie met login scherm geopend,05
algemeen frontend bij redirect vanaf website login modal openen,20
opmerking melder backend comment en commentapproved ook aan melder zijde,05
startpakket frontend icon maken voor tabblad startpakketten,10
startpakket backend opstellen modellen voor handleidingen,05
startpakket backend modellen opstellen voor het pakketten bestellen,25
opmerking melder frontend op de kaart opmerkingen laten zien die actief zijn,20
startpakket backend overzicht alle bestelde startpakketten kunnen ophalen,30
startpakket frontend dash tabblad toevoegen voor overzicht bestelde pakketten,30
opmerking melder backend call implementeren voor togglen opmerking,20
opmerking melder frontend bij weergave melding opmerking kunnen togglen,20
startpakket backend bij ophalen melding aangeven welke pakketten besteld zijn,10
startpakket frontend dash per melding aangeven startpakketten zijn besteld,10
startpakket backend call toevoegen voor ophalen handleidingen,20
bedanktflow backend alle opgegeven beschrijvingen default onzichtbaar,20
beheer mura folder overview class extension aanmaken,05
beheer mura page home class extension aanmaken,05
beheer mura base default class extension aanmaken,05
beheer planning project taken uiteenzetten jira tickets,20
beheer mura page content class extension aanmaken,05
beheer development mura omgevingen opzetten,20
beheer mura folder blocks class extension aanmaken,05
beheer mura page blockyoutube class extension aanmaken,05
beheer mura link default class extension aanmaken,05
beheer mura page blockimages class extension aanmaken,05
startpakket backend call toevoegen voor bestellen startpakket,25
backend home content header ophalen en tonen,10
backend home content footer ophalen en tonen,10
backend overview footer ophalen en tonen,10
backend algemeen automatisch laden van template op basis van class extension,10
beheer development gulp omgevingen opzetten,20
backend content header ophalen en tonen,10
backend content hoofd menu rechts ophalen en tonen,10
backend home content blokken ophalen en tonen,40
backend algemeen pretty error templates implementeren,40
backend algemeen ongebruikte knoppen en overzichten uit admin interface verbergen,40
beheer mura thumbnail formaten definiren,10
backend overview hoofd menu links ophalen en tonen,10
backend overview overzicht ophalen en tonen,20
backend home sub headers ophalen en tonen,10
backend content content ophalen en tonen,10
backend home kaart info ophalen en tonen,10
backend algemeen voorkomen dat blokken van paginas rechtstreeks worden benaderd via je browser,10
backend content footer ophalen en tonen,10
backend overview hoofd menu rechts ophalen en tonen,10
beheer mura dummy content aanmaken van elke class extension,05
beheer oplevering documentatie schrijven,40
backend algemeen 404 pagina implementeren,10
backend home hoofd menu links ophalen en tonen,10
backend home hoofd menu rechts ophalen en tonen,10
backend overview sub header ophalen en tonen,10
backend content hoofd menu links ophalen en tonen,10
bedanktpagina backend quote gerelateerd aan zojuist gemaakte melding,10
startpakket frontend startpakket aangevraagd pagina,20
startpakket frontend startpakket bestelpagina,20
bedanktpagina frontend meer info gehele pagina,20
report supporter report follower confirmation link email afvangen angular routing put request doen,10
niet bestaande enquete id afvangen response,10
notifications subject attribute veranderd naar target voor de frontend om links te genereren naamgeving doorvoeren,20
uitlijning van enquete komt niet overeen met de titel er boven,10
implementatie frontend tonen van verwijderde meldingen,10
implementatie frontend verwijderen van meldingen,10
call om meerdere verwijderde meldingen te tonen,10
call om meerder verwijderde meldingen terug te zetten,10
call om meerdere meldingen te verwijderen,10
frontend implementatie enquete landingpage,40
gevolgde melding verschijnt niet het overzicht onder mijn meldingen,10
notificatie dropdown voor melder implenteren frontend,20
notificaties de admin doorvoeren dropdown,10
tekst aanpassen van aanhef mail nieuwe gebruiker,025
een gevolgdegesteunde melding mag je niet uitbreiden,10
ios meldingen gegevens aanvullen een call om de gegevens mee op te halen van een niet complete melding,20
registratieactivatie gebruiker request uitbreiden,20
activatie mail landing request om te kijken welke gegevens missen van de gebruiker,10
succesverhalen uploaden fotos geeft soms problemen,10
succesverhalen publicatie datum moet worden getoond,10
backend tablad dossiers zoeken uitbreiding,20
frontend tablad meldingen toevoegen van link naar dossier,20
communiceren percentage niet afgeronde meldingsprocessen,10
icoon bromfietsbromscooter en snorfietssnorscooter omwisselen,10
beschrijving icoon scootmobiel onjuist schrijffout,10
frontendbackend contact personen van een dossier kunnen ontkoppelen,20
geslacht en geboortejaar opslaan bij aanmaken report handler,10
api uitbreiding zodat het mogelijk om berichten te kunnen posten en ophalen op het buuractie dashboard,20
geslacht en geboortejaar toevoegen aan user model database,20
op het buurtactie dashboard moet de mogelijkheid komen om een enquete te versturen,20
frontend resultaten van enquete moeten benaderd worden het dashboard om de grafieken te laten tonen,40
een individuele melding op de kaart moet eigen meta data krijgen zodat je op facebook direct een compleet bericht kunt delen,30
dossier mogelijkheid om contactpersoon verantwoordelijk te maken voor een dossier api uitbreiding,40
melder kaart afgeronde melding marker popup link naar bijbehorend succesverhaal htmlcssjs implementatie,40
als gebruiker wil ik de notificatiefrequentie kunnen instellen,80
melding maken aanvullende probleem categorieen toevoegen de api en database,40
geslacht en geboortejaar doorvoeren account maken api call,10
geslacht en geboortejaar toevoegen aan melding maken invoervelden,10
als gebruiker wil ik een melding kunnen volgen vanaf de kaart,30
als bestaande gebruiker wil ik het volgen van een meldingen bevestigen aan de hand van een email,40
de mijn meldingen call moet per melding per tab ook de status van een melding terug sturen,60
